Ctrl4,Ctrl5,Ctrl6,pyg4,pyg5,pyg6
WBGene00000073,606,458,511,712,537,236
WBGene00000074,1108,618,768,1438,681,470
WBGene00000075,663,408,512,985,475,322
WBGene00000079,1801,1136,1220,2257,1039,779
WBGene00000080,1506,1111,1016,2083,1055,667
WBGene00000081,10099,5546,7781,7537,6792,2888
WBGene00000082,105,51,62,149,60,42
WBGene00000083,3237,1827,3232,2093,2423,1208
WBGene00000084,628,520,763,951,512,268
WBGene00000085,48,26,64,40,36,27
WBGene00000086,975,626,878,1026,617,371
WBGene00000088,792,513,687,525,532,269
WBGene00000089,353,212,271,341,271,138
WBGene00000090,1809,1213,1202,2690,1065,798
WBGene00000092,1239,749,939,1260,859,466
WBGene00000093,374,272,277,310,268,148
WBGene00000094,438,325,334,732,323,290
WBGene00000095,546,346,426,711,392,191
WBGene00000096,24,24,26,22,20,9
WBGene00000097,1949,754,658,2489,901,512
WBGene00000098,2979,2137,1806,5251,1915,1281
WBGene00000099,1183,848,703,1490,782,588
WBGene00000100,6005,3258,4521,5049,3486,2110
WBGene00000101,5535,4097,4477,9653,3765,2902
WBGene00000102,4126,2792,2865,5749,2670,1771
WBGene00000103,1268,788,970,1272,846,473
WBGene00000105,3323,1949,2729,3992,1943,1443
WBGene00000106,2362,1396,1581,2593,1384,886
WBGene00000107,8455,5161,6757,7854,5631,2655
WBGene00000108,7,9,6,3,6,4
WBGene00000109,3512,2139,2825,3866,2156,1181
WBGene00000110,7867,5292,6885,7202,6008,3033
WBGene00000111,509,266,315,680,329,162
WBGene00000112,3084,1732,2256,2759,2022,1063
WBGene00000113,1830,927,1225,1511,1187,522
WBGene00000114,70131,34776,48876,39201,37137,21389
WBGene00000115,15333,10185,15031,9427,12972,5735
WBGene00000116,2120,1645,2093,1583,1961,820
WBGene00000117,2168,1575,2190,1772,1504,785
WBGene00000118,3533,2383,3034,2731,2399,1161
WBGene00000120,799,575,604,759,594,360
WBGene00000121,3505,2486,2282,3766,2408,1626
WBGene00000122,3530,2307,2295,4008,2398,1390
WBGene00000123,7475,4025,4683,9670,4144,2536
WBGene00000133,773,461,537,622,615,247
WBGene00000134,24,18,25,27,18,5
WBGene00000135,134,91,83,114,68,48
WBGene00000136,1359,800,1216,1137,1137,449
WBGene00000137,614,488,536,873,490,289
WBGene00000138,1021,611,756,966,838,386
WBGene00000139,273,242,329,278,295,128
WBGene00000140,4155,2861,4694,3518,3493,2081
WBGene00000142,1730,1273,1188,2643,1164,737
WBGene00000143,1175,907,954,1848,812,540
WBGene00000144,313,248,184,332,201,124
WBGene00000145,439,322,270,448,294,177
WBGene00000146,4102,2728,2951,5938,2691,1862
WBGene00000147,636,459,480,823,470,265
WBGene00000148,1295,1029,1124,2082,1038,599
WBGene00000149,16082,9414,13001,12067,10706,6058
WBGene00000150,1777,1252,1687,2044,1414,755
WBGene00000151,1328,895,920,1715,848,532
WBGene00000155,5060,3282,3774,5867,3573,2101
WBGene00000156,3130,2048,2264,4893,1830,1613
WBGene00000157,590,343,451,498,462,207
WBGene00000158,3043,1919,2408,3832,2219,1267
WBGene00000159,975,710,793,937,826,469
WBGene00000160,4151,2666,3278,5250,2959,1695
WBGene00000161,2587,1706,2248,3020,1874,1129
WBGene00000162,2379,1521,1961,3025,1664,997
WBGene00000163,3122,1989,2179,4539,2101,1245
WBGene00000164,587,346,418,630,445,271
WBGene00000165,1136,828,844,1356,795,546
WBGene00000166,55,29,60,37,25,27
WBGene00000168,2470,1474,1275,3424,1452,1053
WBGene00000169,700,521,615,575,503,199
WBGene00000170,2915,1666,1841,2787,1700,1157
WBGene00000171,73,59,87,60,78,31
WBGene00000172,359,279,336,213,247,170
WBGene00000173,11,6,12,7,12,2
WBGene00000174,108,64,78,98,85,39
WBGene00000175,4274,2292,3457,3240,2866,1631
WBGene00000176,891,562,678,514,525,292
WBGene00000177,212,143,210,191,171,62
WBGene00000178,1113,850,1026,1236,958,539
WBGene00000179,1814,1212,1657,1412,1408,783
WBGene00000180,900,570,748,767,690,312
WBGene00000181,3572,2239,2826,2776,2574,1328
WBGene00000182,11477,7514,8484,12776,7963,4798
WBGene00000183,8153,5023,5730,7940,5792,3873
WBGene00000184,1026,754,754,1206,814,491
WBGene00000185,4,3,0,1,3,1
WBGene00000186,1690,1155,1318,2740,1210,868
WBGene00000187,962,703,755,1124,733,405
WBGene00000188,78,39,34,93,37,19
WBGene00000189,397,264,262,421,318,153
WBGene00000190,1527,980,627,3106,819,333
WBGene00000191,157,122,122,254,112,42
WBGene00000192,3779,2563,2631,4361,2685,1702
WBGene00000193,9,8,4,14,7,2
WBGene00000195,612,356,381,633,428,232
WBGene00000196,632,432,496,771,400,245
WBGene00000197,7810,4723,5037,8604,4960,2880
WBGene00000198,5569,3777,4733,6032,4221,2728
WBGene00000199,3224,2017,2366,3804,2306,1261
WBGene00000200,3576,2496,2669,4250,2762,1418
WBGene00000201,3378,2110,2324,3595,2407,1288
WBGene00000202,927,633,628,1229,625,329
WBGene00000203,1419,974,1126,1329,1125,720
WBGene00000204,1275,892,876,1413,1035,701
WBGene00000205,812,519,526,798,602,422
WBGene00000206,3300,2500,2229,3810,2381,1585
WBGene00000207,10270,5574,7843,7153,6891,3880
WBGene00000208,1652,884,989,1597,930,574
WBGene00000209,2442,1704,1684,1429,2149,1038
WBGene00000210,2945,1734,2360,1513,2191,1009
WBGene00000211,604,515,643,830,550,292
WBGene00000212,246,224,248,131,147,67
WBGene00000213,140,112,153,22,50,42
WBGene00000214,75676,32404,54053,46479,32729,22247
WBGene00000215,29998,17800,24104,24628,20228,10704
WBGene00000216,41955,25175,41282,22365,22973,13908
WBGene00000217,56837,37688,50140,41650,44664,17265
WBGene00000218,24500,15966,24108,11473,15915,8904
WBGene00000219,70614,41982,63752,36739,40484,26110
WBGene00000220,168,121,134,131,93,60
WBGene00000221,4265,3019,3793,3884,3419,2074
WBGene00000222,582,380,418,777,431,291
WBGene00000223,7981,5065,5197,10256,4693,2974
WBGene00000224,2138,1386,1872,2003,1556,775
WBGene00000225,1383,861,1276,1305,1170,617
WBGene00000226,2012,1534,1967,3602,1554,1091
WBGene00000227,1810,1052,1301,2466,1153,670
WBGene00000228,7588,4222,6089,8484,5201,2625
WBGene00000229,43307,23151,29774,36364,26783,17109
WBGene00000230,10536,6308,7234,9630,7049,4361
WBGene00000231,11698,6236,7374,12459,6688,4619
WBGene00000232,177,129,150,154,133,57
WBGene00000233,701,434,619,561,532,282
WBGene00000235,2958,1880,1813,2591,1953,1096
WBGene00000236,1069,821,735,1196,834,529
WBGene00000237,1548,1025,1366,1457,1147,617
WBGene00000238,871,725,1054,956,783,494
WBGene00000239,1063,631,962,706,787,372
WBGene00000240,4994,3421,5240,2558,3962,2315
WBGene00000241,20,24,34,14,21,13
WBGene00000242,29,19,19,21,19,9
WBGene00000244,55,24,39,31,38,18
WBGene00000245,963,581,849,714,719,421
WBGene00000246,226,177,240,189,256,131
WBGene00000247,2062,1192,1150,2590,1050,567
WBGene00000248,1180,805,939,1393,846,500
WBGene00000249,803,493,478,962,582,399
WBGene00000250,716,523,429,934,430,318
WBGene00000251,15,10,15,22,8,6
WBGene00000252,8,3,1,7,3,2
WBGene00000253,1785,1148,1600,1854,1405,727
WBGene00000254,7453,4512,5364,9045,4874,2752
WBGene00000255,21,9,14,10,16,15
WBGene00000256,28,16,21,16,10,10
WBGene00000257,2021,1331,1189,2673,1223,805
WBGene00000259,851,589,694,1095,657,373
WBGene00000262,222,157,148,240,142,77
WBGene00000263,4393,2673,2942,1964,3334,1815
WBGene00000264,613,471,434,1095,423,358
WBGene00000265,820,675,585,1411,578,372
WBGene00000266,1521,1082,1500,1295,1007,498
WBGene00000267,203,131,155,238,186,109
WBGene00000268,2521,1606,2060,2457,1749,996
WBGene00000269,745,462,478,701,495,258
WBGene00000270,278,244,248,397,219,146
WBGene00000271,1517,1077,1085,2443,1030,719
WBGene00000272,21,16,11,23,12,7
WBGene00000273,71826,45117,60724,43770,56861,29585
WBGene00000274,2027,1202,1379,2723,1349,806
WBGene00000275,3570,2346,2257,4998,2089,1452
WBGene00000276,2434,1447,1546,2428,1504,963
WBGene00000277,8967,5551,7321,7049,6817,3849
WBGene00000279,104,99,70,96,63,23
WBGene00000280,52,56,55,56,59,33
WBGene00000281,2670,1746,2482,2217,2084,1222
WBGene00000282,5616,3568,4734,3900,3847,2205
WBGene00000283,1483,963,1317,1152,1160,588
WBGene00000284,188,98,144,158,121,49
WBGene00000285,435,296,341,407,382,185
WBGene00000286,411,267,268,395,289,130
WBGene00000287,113,66,100,86,83,45
WBGene00000288,167,125,157,175,139,61
WBGene00000289,2209,1358,1681,3047,1557,831
WBGene00000292,3516,2662,2878,4195,2866,1543
WBGene00000293,4996,3018,3485,4680,3411,1981
WBGene00000294,6051,3399,4450,5370,4197,2283
WBGene00000295,55,34,43,78,41,23
WBGene00000296,39,24,24,38,30,7
WBGene00000298,2164,1667,2439,1379,1738,635
WBGene00000301,2339,1399,1258,2457,1107,620
WBGene00000302,85,72,96,34,51,33
WBGene00000308,0,1,0,0,0,0
WBGene00000310,0,0,0,0,0,0
WBGene00000311,0,0,0,0,0,0
WBGene00000366,7345,4216,5714,9575,4624,3113
WBGene00000367,847,569,956,998,670,371
WBGene00000368,460,224,371,383,324,193
WBGene00000369,2496,1642,1656,3167,1757,1138
WBGene00000370,8385,5631,7518,6216,7366,3267
WBGene00000371,6271,3805,4448,3734,4731,2949
WBGene00000372,169,113,106,348,120,63
WBGene00000373,764,563,708,857,777,358
WBGene00000374,434,284,397,407,338,183
WBGene00000375,934,660,718,1320,806,417
WBGene00000376,7211,5106,5251,10515,4677,3225
WBGene00000377,8246,4843,4852,10455,4813,2929
WBGene00000378,6793,4127,4177,8427,4131,2799
WBGene00000379,7199,4461,4399,8936,4323,2379
WBGene00000380,11881,6962,6865,13721,7311,3639
WBGene00000381,7740,4679,4484,9922,4763,2853
WBGene00000382,1575,1097,1121,2393,1130,725
WBGene00000383,4409,2968,3296,6468,3004,2108
WBGene00000386,3139,2294,2036,5031,2099,1447
WBGene00000387,1135,691,665,1453,606,457
WBGene00000388,325,188,242,533,230,166
WBGene00000389,14,10,19,3,9,5
WBGene00000390,5871,3770,4339,8050,3833,2486
WBGene00000391,151,96,147,198,106,69
WBGene00000392,790,493,588,683,551,316
WBGene00000393,1631,1174,1532,1860,1341,729
WBGene00000395,314,211,269,564,218,145
WBGene00000396,1931,1134,1749,2937,1189,797
WBGene00000397,120,83,81,154,58,30
WBGene00000399,71,21,12,96,17,8
WBGene00000401,80,52,84,64,57,31
WBGene00000402,126,42,38,158,43,24
WBGene00000403,4115,2216,3071,3808,2652,1325
WBGene00000405,3242,2140,1876,4666,1984,1147
WBGene00000406,184,125,158,229,161,104
WBGene00000407,776,591,507,1063,536,340
WBGene00000408,1072,926,820,1590,866,571
WBGene00000409,1486,1077,1171,2128,1101,768
WBGene00000410,1258,816,905,1358,925,580
WBGene00000411,4522,2899,2528,6141,2577,2007
WBGene00000412,65,39,78,57,63,29
WBGene00000413,1209,780,765,2148,783,600
WBGene00000414,1382,1001,1082,1514,982,604
WBGene00000415,6313,3602,4527,6594,4255,2156
WBGene00000416,1810,1185,1172,2215,1186,735
WBGene00000417,3137,2210,1939,4939,1945,1429
WBGene00000418,741,519,525,1081,476,258
WBGene00000419,2908,2063,2587,4612,2055,1363
WBGene00000420,2237,1383,1574,2640,1557,897
WBGene00000421,5725,4326,5495,8044,4628,3072
WBGene00000422,95,62,51,187,56,44
WBGene00000423,1612,1000,894,1801,1027,516
WBGene00000424,1816,1149,1467,1991,1393,774
WBGene00000425,209,143,191,216,194,89
WBGene00000426,2251,1724,1729,3031,1710,954
WBGene00000427,3,5,0,3,0,2
WBGene00000428,21,12,15,14,19,5
WBGene00000429,11,8,12,3,3,6
WBGene00000430,13,6,3,14,10,9
WBGene00000431,40,30,45,39,27,19
WBGene00000432,0,1,1,0,0,0
WBGene00000433,6,7,7,20,3,5
WBGene00000434,8,5,8,9,7,6
WBGene00000435,36,13,15,15,21,5
WBGene00000436,0,0,0,1,1,3
WBGene00000437,304,234,298,328,293,158
WBGene00000438,120,59,81,97,96,46
WBGene00000439,24,15,16,22,10,9
WBGene00000440,4,7,4,11,4,3
WBGene00000441,860,519,704,730,585,375
WBGene00000442,60,30,56,37,51,21
WBGene00000443,817,516,741,804,575,342
WBGene00000444,517,284,301,746,369,242
WBGene00000445,24,24,23,20,12,11
WBGene00000446,36,24,37,28,35,13
WBGene00000447,11,17,13,6,13,5
WBGene00000448,199,104,162,167,100,76
WBGene00000449,77,39,42,47,22,15
WBGene00000450,0,0,0,1,0,0
WBGene00000451,63,22,29,24,32,29
WBGene00000452,24,11,25,18,17,7
WBGene00000453,381,300,345,401,309,189
WBGene00000454,22,12,11,16,20,4
WBGene00000455,122,90,67,118,98,51
WBGene00000457,47,13,30,38,13,22
WBGene00000458,555,381,501,581,418,261
WBGene00000459,2688,1799,2005,4423,1714,1320
WBGene00000460,617,386,328,1032,359,247
WBGene00000461,98,71,68,141,61,39
WBGene00000462,242,174,172,366,159,127
WBGene00000463,162,103,107,191,119,49
WBGene00000464,2797,1810,2078,3794,1892,1044
WBGene00000465,36300,20652,19301,52970,20653,15930
WBGene00000466,1363,1054,1056,2257,1079,674
WBGene00000467,961,681,681,1494,631,414
WBGene00000468,19,6,12,3,4,1
WBGene00000469,111,73,89,82,49,27
WBGene00000472,15346,8488,9971,13280,8968,5785
WBGene00000473,19802,13848,11253,25118,12084,8831
WBGene00000474,8243,6175,5144,10583,5675,3591
WBGene00000475,23241,12669,14874,16367,14440,8574
WBGene00000476,152,90,102,154,111,58
WBGene00000477,177,119,155,215,136,55
WBGene00000478,171,88,135,198,102,66
WBGene00000479,24684,17636,16721,35790,15242,12787
WBGene00000480,4484,2942,3017,6199,3097,1751
WBGene00000481,198,91,117,143,117,47
WBGene00000482,2898,1661,2255,3481,1806,1106
WBGene00000483,0,0,0,0,0,0
WBGene00000484,23,18,28,18,21,14
WBGene00000485,186,123,210,211,170,87
WBGene00000487,6,8,5,8,2,4
WBGene00000488,40,21,44,40,37,22
WBGene00000490,69,51,78,61,42,23
WBGene00000491,82,45,67,76,60,32
WBGene00000492,44,39,33,47,30,22
WBGene00000493,113,69,67,104,63,49
WBGene00000496,6755,4604,4595,11989,4246,3147
WBGene00000497,202,109,102,306,78,76
WBGene00000498,1693,967,873,2109,932,514
WBGene00000499,179,136,140,253,112,109
WBGene00000500,1581,1239,1159,2189,1212,904
WBGene00000501,119,55,86,118,87,44
WBGene00000502,1084,831,784,1426,759,490
WBGene00000503,1439,714,662,1848,892,452
WBGene00000506,560,418,446,779,449,295
WBGene00000507,936,714,751,1360,641,441
WBGene00000508,1446,781,972,1660,878,522
WBGene00000509,2478,1719,2124,3101,1831,953
WBGene00000510,226,147,224,210,189,102
WBGene00000511,242,159,221,232,263,94
WBGene00000512,998,723,849,1650,569,308
WBGene00000513,2,2,9,9,5,0
WBGene00000514,493,307,422,524,393,222
WBGene00000515,907,795,1000,999,969,490
WBGene00000516,236,178,195,194,170,78
WBGene00000517,904,643,640,1250,614,402
WBGene00000518,184,108,159,256,127,81
WBGene00000519,2265,1478,1600,2803,1577,774
WBGene00000520,1428,1057,991,2504,965,648
WBGene00000521,20,5,1,16,6,0
WBGene00000522,3133,2350,3503,2057,2627,1542
WBGene00000523,80,58,61,85,61,26
WBGene00000524,170,134,138,126,127,84
WBGene00000525,9,8,3,4,9,3
WBGene00000526,118,100,108,112,91,52
WBGene00000527,2977,2087,2664,3145,2513,1307
WBGene00000528,5521,3568,4872,4301,3974,2231
WBGene00000529,144,96,146,161,102,65
WBGene00000530,1270,839,879,1463,793,464
WBGene00000531,186,134,149,250,156,71
WBGene00000532,2367,1647,1882,3629,1668,923
WBGene00000533,1504,995,1082,1965,991,501
WBGene00000534,10621,6656,7528,5942,7971,4358
WBGene00000535,9538,8090,8637,3620,9465,2797
WBGene00000536,546,393,449,526,421,257
WBGene00000537,980,647,676,1469,633,440
WBGene00000539,202,124,203,263,198,105
WBGene00000540,729,460,558,900,494,259
WBGene00000541,124,85,106,165,98,46
WBGene00000542,7877,5007,6779,7205,5455,2965
WBGene00000543,1157,852,1040,1900,899,596
WBGene00000544,49,21,25,13,32,20
WBGene00000545,4188,2668,3213,3535,2997,1521
WBGene00000546,61,29,63,40,61,36
WBGene00000547,3648,2254,2571,3515,2487,1287
WBGene00000548,3348,2297,2831,5349,2530,1606
WBGene00000549,2266,1112,1334,2526,1250,679
WBGene00000550,3720,2587,3042,4860,2442,1807
WBGene00000551,52,1,3,4,4,3
WBGene00000552,12742,8434,9732,13212,9194,5638
WBGene00000553,224,115,177,207,192,102
WBGene00000554,1571,1025,1299,1302,1173,559
WBGene00000555,1,1,1,1,1,4
WBGene00000556,801,712,833,184,1458,448
WBGene00000557,434,371,556,127,553,313
WBGene00000558,1647,1366,1381,424,2450,704
WBGene00000559,0,3,0,0,3,0
WBGene00000560,161,202,177,23,386,91
WBGene00000561,25,12,14,17,11,6
WBGene00000562,108,73,83,112,86,36
WBGene00000563,4,3,4,8,7,4
WBGene00000564,1970,1264,1244,2768,1268,772
WBGene00000565,2629,1409,1704,2700,1739,934
WBGene00000566,2898,1462,1805,3185,1705,898
WBGene00000567,5914,4053,4295,7496,3971,2567
WBGene00000583,254,159,238,181,177,89
WBGene00000584,78,31,47,63,51,29
WBGene00000585,1576,1154,1243,2307,1100,676
WBGene00000591,1069,624,752,1465,671,431
WBGene00000592,685,523,440,1083,458,320
WBGene00000593,0,3,0,4,0,0
WBGene00000594,92,17,9,255,9,10
WBGene00000596,5,5,5,2,5,3
WBGene00000597,28250,10755,22011,8669,14352,10309
WBGene00000598,2,2,1,4,3,2
WBGene00000599,302,142,15,243,71,34
WBGene00000601,38,13,13,46,12,6
WBGene00000602,25,19,6,62,5,2
WBGene00000603,231,115,30,231,85,31
WBGene00000606,831,375,1,1264,82,32
WBGene00000608,25384,8811,15782,10918,12664,8394
WBGene00000609,28748,8559,20840,8361,12471,9176
WBGene00000610,16,2,2,6,6,1
WBGene00000611,551,272,316,352,328,173
WBGene00000612,5,0,3,2,2,1
WBGene00000613,0,1,1,0,1,0
WBGene00000614,0,1,0,0,0,0
WBGene00000615,58,30,32,50,30,24
WBGene00000616,423,107,39,489,62,43
WBGene00000617,1,0,0,2,0,1
WBGene00000618,511,253,5,711,56,18
WBGene00000620,346,171,277,99,152,90
WBGene00000621,2,0,1,2,0,0
WBGene00000622,29,12,18,24,22,9
WBGene00000623,24,10,5,27,6,1
WBGene00000624,5,1,1,2,2,0
WBGene00000625,179,62,39,161,58,35
WBGene00000626,1,0,1,4,3,2
WBGene00000627,29,11,34,8,20,4
WBGene00000628,1,0,1,0,1,0
WBGene00000629,4,1,1,1,3,1
WBGene00000630,40,25,23,45,29,11
WBGene00000631,56,21,4,39,12,4
WBGene00000632,0,0,0,2,0,1
WBGene00000633,2,2,6,2,1,0
WBGene00000634,30,15,2,8,8,3
WBGene00000636,11,4,13,7,5,4
WBGene00000637,2,4,1,5,2,3
WBGene00000638,21,14,19,9,7,4
WBGene00000639,8,6,7,11,5,3
WBGene00000640,5,4,5,11,3,2
WBGene00000641,177,64,12,141,48,29
WBGene00000642,1,0,0,2,0,0
WBGene00000644,103,56,67,99,60,33
WBGene00000645,5,3,7,15,6,4
WBGene00000646,1,0,0,0,0,0
WBGene00000647,129,61,59,70,61,30
WBGene00000648,2,1,2,1,2,2
WBGene00000649,453,190,3,566,63,18
WBGene00000650,218,118,109,210,150,116
WBGene00000651,3,0,1,2,0,1
WBGene00000652,792,494,627,512,591,312
WBGene00000653,111,34,19,104,37,23
WBGene00000654,1,2,1,0,0,0
WBGene00000655,4,3,6,4,2,4
WBGene00000656,47359,20726,39003,15327,28332,17893
WBGene00000657,497,270,386,119,273,150
WBGene00000658,15,9,5,7,6,5
WBGene00000659,12,7,11,11,8,5
WBGene00000660,16,7,8,7,13,8
WBGene00000661,10,9,4,5,3,3
WBGene00000662,6,2,3,1,2,3
WBGene00000663,2,0,0,0,1,0
WBGene00000664,39,32,28,27,18,22
WBGene00000665,442,199,9,666,51,28
WBGene00000666,24,22,3,38,10,2
WBGene00000667,71,21,16,105,17,9
WBGene00000668,5762,2016,4303,2193,2638,1702
WBGene00000669,5,5,16,3,10,12
WBGene00000670,94080,46867,76164,37203,66287,39163
WBGene00000671,436,221,339,242,320,176
WBGene00000672,260,78,17,207,99,43
WBGene00000673,14121,5429,8795,4514,7970,4477
WBGene00000674,275,113,153,170,113,71
WBGene00000675,106271,57645,89566,45195,74478,42661
WBGene00000676,5,0,1,1,2,0
WBGene00000677,16650,6600,10367,6062,9597,5434
WBGene00000678,198,74,61,165,82,52
WBGene00000679,5,2,2,1,0,0
WBGene00000680,84041,42441,63157,32107,55631,28085
WBGene00000681,832,257,86,773,172,88
WBGene00000682,3,1,1,0,3,0
WBGene00000683,175,70,21,126,56,26
WBGene00000684,7,3,2,8,4,3
WBGene00000685,110,63,32,162,51,21
WBGene00000687,90,43,42,60,47,35
WBGene00000688,2,2,2,0,1,0
WBGene00000689,42,13,6,36,15,9
WBGene00000690,124,84,101,52,106,32
WBGene00000691,108,27,4,138,30,12
WBGene00000692,721,374,430,497,411,190
WBGene00000693,124519,47463,82819,45262,62122,40891
WBGene00000694,5,9,8,17,7,3
WBGene00000695,86,51,67,69,26,29
WBGene00000696,159921,72844,114844,62273,92778,51213
WBGene00000697,3,2,0,3,1,1
WBGene00000698,49056,16962,28788,18230,20512,12584
WBGene00000699,801,354,29,926,164,82
WBGene00000700,0,0,0,0,1,0
WBGene00000701,0,0,0,0,0,0
WBGene00000702,10,4,4,30,4,2
WBGene00000703,776,255,393,294,295,200
WBGene00000704,102,63,18,120,33,14
WBGene00000705,17,6,4,18,2,2
WBGene00000706,1,2,3,3,0,1
WBGene00000707,14,7,0,16,3,0
WBGene00000708,1670,925,1115,1753,1825,901
WBGene00000709,1,0,0,0,3,0
WBGene00000710,0,2,0,1,3,1
WBGene00000711,17,8,11,4,14,6
WBGene00000712,1407,523,966,320,610,425
WBGene00000713,116535,40585,70694,46228,55656,35765
WBGene00000714,4,1,4,11,2,3
WBGene00000715,2175,616,1031,799,984,770
WBGene00000716,81606,39058,62465,39946,53582,31607
WBGene00000717,665,229,91,627,170,87
WBGene00000718,25,19,1,24,12,5
WBGene00000719,39,12,1,63,4,3
WBGene00000720,257,40,17,306,45,29
WBGene00000721,1,0,0,0,0,1
WBGene00000722,88,39,42,114,51,18
WBGene00000723,85,38,78,41,73,43
WBGene00000724,8,5,6,8,3,2
WBGene00000725,5,2,4,5,2,1
WBGene00000726,276,135,180,237,147,96
WBGene00000727,67,26,13,71,16,4
WBGene00000728,474,199,256,280,250,117
WBGene00000729,20,17,0,25,8,0
WBGene00000730,16,13,7,14,8,0
WBGene00000731,727,415,505,328,508,217
WBGene00000732,422,169,357,176,239,168
WBGene00000733,20426,8323,17316,9128,12116,9563
WBGene00000734,45,27,2,39,15,4
WBGene00000735,22,20,3,26,9,9
WBGene00000736,4,2,9,11,6,3
WBGene00000737,3,0,1,0,0,0
WBGene00000738,207,143,114,225,76,135
WBGene00000739,931,417,327,838,397,209
WBGene00000740,152,39,9,110,23,22
WBGene00000741,32,16,1,42,11,0
WBGene00000742,69,34,1,90,22,4
WBGene00000743,29,12,1,38,2,1
WBGene00000744,1,0,0,0,0,0
WBGene00000745,11,14,6,20,10,4
WBGene00000746,31,15,15,47,17,11
WBGene00000747,12,6,9,10,3,1
WBGene00000748,0,4,9,0,3,1
WBGene00000749,22,5,5,6,8,2
WBGene00000750,16,8,10,14,6,6
WBGene00000751,36653,18360,30029,14998,24728,12428
WBGene00000752,9215,3391,6391,5194,4481,2927
WBGene00000753,91,49,5,108,35,9
WBGene00000754,124449,67019,103272,46233,85450,44251
WBGene00000755,26,15,5,17,6,2
WBGene00000756,0,4,4,2,8,2
WBGene00000757,66371,36355,54995,28417,46108,22979
WBGene00000758,0,0,0,0,0,0
WBGene00000759,61,26,35,42,31,17
WBGene00000760,8,4,5,5,4,2
WBGene00000761,1879,1353,1837,1861,1685,909
WBGene00000762,701,509,593,707,525,288
WBGene00000763,605,335,411,508,459,167
WBGene00000764,417,290,321,386,395,178
WBGene00000765,1113,822,817,1297,873,475
WBGene00000766,1145,756,871,1523,799,471
WBGene00000767,2025,1274,1552,2583,1293,809
WBGene00000768,738,439,658,602,604,317
WBGene00000770,1169,744,744,1825,728,461
WBGene00000771,59,19,56,30,40,26
WBGene00000772,2813,2267,2028,4454,1943,1367
WBGene00000773,1176,872,804,1719,806,530
WBGene00000774,460,295,284,381,339,208
WBGene00000775,456,430,580,429,502,243
WBGene00000776,129260,70953,90757,102916,97852,46816
